      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398  Qobs_0000000333  Qsim_0000000333
     177      26       6    1990       49.0000000     1863.6671555     1760.0000000     1840.0676616
     178      27       6    1990       44.0000000     1796.6980007     1690.0000000     1775.0872703
     179      28       6    1990       51.0000000     1820.3093601     1730.0000000     1809.3156300
     180      29       6    1990       61.0000000     1834.3876505     1710.0000000     1810.9782569
     181      30       6    1990       81.0000000     1927.8947627     1780.0000000     1900.6456372
     182       1       7    1990       79.0000000     1859.9873532     1740.0000000     1833.4734890
     183       2       7    1990       92.0000000     1961.4215323     1870.0000000     1955.1100736
     184       3       7    1990       72.0000000     2135.3777864     2030.0000000     2137.6747027
     185       4       7    1990       58.0000000     2200.0800521     2050.0000000     2186.0371471
     186       5       7    1990       69.0000000     2241.7745333     2040.0000000     2209.4947175
     187       6       7    1990       94.0000000     2302.7242304     2130.0000000     2287.4900833
     188       7       7    1990      199.0000000     2415.5494453     2240.0000000     2405.0626641
     189       8       7    1990      133.0000000     2504.0019739     2330.0000000     2490.0736504
     190       9       7    1990      124.0000000     2550.3210903     2400.0000000     2538.5263337
     191      10       7    1990      123.0000000     2502.9967254     2360.0000000     2482.5190993
     192      11       7    1990       99.0000000     2403.6575127     2270.0000000     2379.7333428
     193      12       7    1990       88.0000000     2402.3308782     2290.0000000     2389.4822874
     194      13       7    1990       84.0000000     2313.4624868     2200.0000000     2291.2297514
     195      14       7    1990       72.0000000     2216.1687526     2110.0000000     2194.5559862
     196      15       7    1990       55.0000000     2111.1535269     2010.0000000     2089.1316113
     197      16       7    1990       65.0000000     2006.2907707     1910.0000000     1984.6976164
     198      17       7    1990       50.0000000     1911.3585844     1820.0000000     1891.0499461
     199      18       7    1990       50.0000000     1827.1040517     1740.0000000     1808.0275681
     200      19       7    1990       46.0000000     1771.5452294     1690.0000000     1755.5032071
     201      20       7    1990       44.0000000     1710.1046506     1630.0000000     1693.3761264
     202      21       7    1990       42.0000000     1657.1641796     1580.0000000     1641.5664895
     203      22       7    1990       37.0000000     1569.1089027     1490.0000000     1550.0109470
     204      23       7    1990       38.0000000     1513.8990532     1440.0000000     1498.6591734
     205      24       7    1990       44.0000000     1480.7108369     1410.0000000     1467.4711463
     206      25       7    1990       30.0000000     1440.4317527     1370.0000000     1426.4150036
     207      26       7    1990       26.0000000     1390.2685027     1320.0000000     1375.4653539
     208      27       7    1990       31.0000000     1339.2772385     1270.0000000     1324.6019429
     209      28       7    1990       33.0000000     1309.6169835     1240.0000000     1293.8810405
     210      29       7    1990       42.0000000     1267.4195844     1200.0000000     1253.1192958
     211      30       7    1990       36.0000000     1225.9335039     1160.0000000     1212.4229902
     212      31       7    1990       34.0000000     1221.4681313     1160.0000000     1211.7664926
     213       1       8    1990       25.0000000     1311.5097034     1260.0000000     1311.1429485
     214       2       8    1990       22.0000000     1310.9443756     1250.0000000     1300.5468236
     215       3       8    1990       28.0000000     1245.7963011     1180.0000000     1229.9736737
