      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398  Qobs_0000000333  Qsim_0000000333
     126       6       5    1990       50.0000000     1201.6081863     1190.0000000     1190.0000000
     127       7       5    1990       50.0000000     1203.5781954     1190.0000000     1190.0000000
     128       8       5    1990       53.0000000     1226.4274826     1220.0000000     1220.0000000
     129       9       5    1990       62.0000000     1279.3448593     1280.0000000     1280.0000000
     130      10       5    1990       64.0000000     1327.8991407     1320.0000000     1320.0000000
     131      11       5    1990       65.0000000     1335.5600471     1320.0000000     1320.0000000
     132      12       5    1990       75.0000000     1341.2855458     1330.0000000     1330.0000000
     133      13       5    1990       71.0000000     1404.9605689     1410.0000000     1410.0000000
     134      14       5    1990       63.0000000     1415.2228021     1400.0000000     1400.0000000
     135      15       5    1990       61.0000000     1374.0964988     1350.0000000     1350.0000000
     136      16       5    1990       49.0000000     1362.4210434     1350.0000000     1350.0000000
     137      17       5    1990       46.0000000     1369.8830091     1360.0000000     1360.0000000
     138      18       5    1990       46.0000000     1371.9293334     1360.0000000     1360.0000000
     139      19       5    1990       48.0000000     1371.7039915     1360.0000000     1360.0000000
     140      20       5    1990       41.0000000     1371.4910104     1360.0000000     1360.0000000
     141      21       5    1990       45.0000000     1356.0721741     1340.0000000     1340.0000000
     142      22       5    1990       52.0000000     1366.8540695     1360.0000000     1360.0000000
     143      23       5    1990       50.0000000     1394.6726101     1390.0000000     1390.0000000
     144      24       5    1990       56.0000000     1416.7233008     1410.0000000     1410.0000000
     145      25       5    1990       41.0000000     1436.4465984     1430.0000000     1430.0000000
     146      26       5    1990       40.0000000     1479.3958013     1480.0000000     1480.0000000
     147      27       5    1990       39.0000000     1552.3550220     1560.0000000     1560.0000000
     148      28       5    1990       39.0000000     1717.0406899     1750.0000000     1750.0000000
     149      29       5    1990       33.0000000     1683.1478273     1650.0000000     1650.0000000
     150      30       5    1990       37.0000000     1559.8439068     1520.0000000     1520.0000000
     151      31       5    1990       30.0000000     1483.6935470     1460.0000000     1460.0000000
     152       1       6    1990       37.0000000     1452.1360163     1430.0000000     1430.0000000
     153       2       6    1990       36.0000000     1412.0835241     1390.0000000     1390.0000000
     154       3       6    1990       40.0000000     1405.3267697     1370.0000000     1370.0000000
     155       4       6    1990       45.0000000     1402.2416677     1390.0000000     1390.0000000
     156       5       6    1990       39.0000000     1410.2115445     1400.0000000     1400.0000000
     157       6       6    1990       48.0000000     1381.3307028     1360.0000000     1360.0000000
     158       7       6    1990       39.0000000     1437.5106623     1420.0000000     1420.0000000
     159       8       6    1990       49.0000000     1531.1512645     1530.0000000     1530.0000000
     160       9       6    1990       84.0000000     1610.2443716     1600.0000000     1600.0000000
     161      10       6    1990       91.0000000     1696.5105155     1700.0000000     1700.0000000
     162      11       6    1990       80.0000000     1879.1331734     1910.0000000     1910.0000000
     163      12       6    1990       66.0000000     1987.9582647     1990.0000000     1990.0000000
     164      13       6    1990       53.0000000     2044.0229238     2040.0000000     2040.0000000
     165      14       6    1990       64.0000000     2039.3097830     2020.0000000     2020.0000000
     166      15       6    1990       55.0000000     2041.8139791     2030.0000000     2030.0000000
     167      16       6    1990       54.0000000     2051.2360243     2040.0000000     2040.0000000
     168      17       6    1990       42.0000000     2022.1390311     2000.0000000     2000.0000000
     169      18       6    1990       48.0000000     1919.9491155     1880.0000000     1880.0000000
     170      19       6    1990       48.0000000     1827.5581733     1790.0000000     1790.0000000
     171      20       6    1990       60.0000000     1793.7557839     1770.0000000     1770.0000000
     172      21       6    1990       75.0000000     1786.3674567     1770.0000000     1770.0000000
     173      22       6    1990       78.0000000     1831.0046920     1830.0000000     1830.0000000
     174      23       6    1990       66.0000000     2007.3696818     2040.0000000     2040.0000000
     175      24       6    1990       63.0000000     2037.9391574     2020.0000000     2020.0000000
     176      25       6    1990       52.0000000     1924.6903603     1880.0000000     1880.0000000
     177      26       6    1990       49.0000000     1799.6415406     1760.0000000     1760.0000000
     178      27       6    1990       44.0000000     1723.5282653     1690.0000000     1690.0000000
     179      28       6    1990       51.0000000     1735.0110428     1730.0000000     1730.0000000
     180      29       6    1990       61.0000000     1740.6789776     1710.0000000     1710.0000000
     181      30       6    1990       81.0000000     1801.6651272     1780.0000000     1780.0000000
     182       1       7    1990       79.0000000     1774.2545038     1740.0000000     1740.0000000
     183       2       7    1990       92.0000000     1862.9758430     1870.0000000     1870.0000000
     184       3       7    1990       72.0000000     2014.8750969     2030.0000000     2030.0000000
     185       4       7    1990       58.0000000     2068.0702268     2050.0000000     2050.0000000
     186       5       7    1990       69.0000000     2082.6731465     2040.0000000     2040.0000000
     187       6       7    1990       94.0000000     2137.3285353     2130.0000000     2130.0000000
     188       7       7    1990      199.0000000     2246.0938231     2240.0000000     2240.0000000
     189       8       7    1990      133.0000000     2336.8836934     2330.0000000     2330.0000000
     190       9       7    1990      124.0000000     2407.7608639     2400.0000000     2400.0000000
     191      10       7    1990      123.0000000     2391.2270265     2360.0000000     2360.0000000
     192      11       7    1990       99.0000000     2311.1695479     2270.0000000     2270.0000000
